facility_id,project_family,project_name,project_division,project_unit,project_subunit,project_path,membership_role,assignment_confidence,evidence_rule_id,evidence_url,project_key,project_id
CVY_1E43B652,Local/regional public,Merced Irrigation District,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Merced Irrigation District|||,PRJ_68D0A222
CVY_1E540262,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1E72A5B4,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1EA553B0,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1F516766,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1F67F1CE,CVP,Central Valley Project,American River Division,Folsom Unit,Folsom South Canal,American River Division > Folsom Unit > Folsom South Canal,facility,authoritative_crosswalk,CVP_AMERICAN_FOLSOM_SOUTH,https://www.usbr.gov/projects/index.php?id=505,CVP|Central Valley Project|American River Division|Folsom Unit|Folsom South Canal,PRJ_2ECF1EFC
CVY_1FB79D3D,Local/regional public,Glenn-Colusa Irrigation District conveyance system,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Glenn-Colusa Irrigation District conveyance system|||,PRJ_116F9B5B
CVY_20C08296,SWP,State Water Project,California Aqueduct,,,California Aqueduct,facility,authoritative_crosswalk,SWP_CALIF_AQUEDUCT,,SWP|State Water Project|California Aqueduct||,PRJ_2438E759
CVY_210152EC,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_210DF3BA,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_211C3D77,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
