"layer_id","display_name","category","canonical_group","cache_file","cache_path","cache_exists","cache_size_mb","cache_read_ok","read_error","source_kind","object_class","is_sf","is_list_cache","list_names","n_features","n_columns","geometry_family_expected","geometry_types","crs_epsg","layer_object_size_mb","n_coordinates","geometry_wkt_mb","attributes_json_mb","attributes_character_mb","popup_html_mb","hover_tooltip_mb","label_candidate_mb","style_candidate_mb","estimated_text_payload_mb","full_cache_text_payload_mb","likely_leaflet_attr_json_mb","likely_leaflet_text_payload_mb","full_minus_likely_mb","likely_leaflet_fields","likely_leaflet_method","likely_leaflet_note","geom_mb_per_1000_features","attr_json_mb_per_1000_features","popup_mb_per_1000_features","payload_note"
"cnrfc_precip","CNRFC Precip Gages","Points","Points – CNRFC Precip Gages","cnrfc_precip_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_precip_map.rds",TRUE,0.262,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,3137,13,"point","POINT","4326",3.521,3137,0.076,1.969,1.415,1.105,0.14,0,0,2.045,2.045,1.502,1.579,0.466,"popup_html;hover_text;fill_col;stroke_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.024,0.628,0.352,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"field_office_outer","BLM Field Office (outer)","Core","Core – BLM Field Office Boundaries","field_office_outer_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/field_office_outer_map.rds",TRUE,1.031,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,14,23,"polygon","POLYGON;MULTIPOLYGON","4326",1.272,,1.516,0.009,0.004,0.001,0,0,0,1.525,1.525,0.002,1.518,0.007,"popup_html","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",108.286,0.643,0.071,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"cnrfc_stream","CNRFC River & Reservoir","Points","Points – CNRFC River & Reservoir","cnrfc_stream_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_stream_map.rds",TRUE,0.238,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,2047,29,"point","POINT","4326",3.407,2047,0.05,2.749,1.64,1.152,0.123,0,0,2.799,2.799,1.442,1.492,1.307,"popup_html;hover_text;fill_col;stroke_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.024,1.343,0.563,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"county","Counties","Reference","Reference – Counties","county_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/county_map.rds",TRUE,0.928,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,58,7,"polygon","POLYGON;MULTIPOLYGON","4326",1.183,,1.368,0.014,0.008,0.006,0,0.001,0,1.382,1.382,0.009,1.377,0.005,"popup_html;label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",23.586,0.241,0.103,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::gwbasins_adjd","gwbasins_adjd [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,47,15,,"MULTIPOLYGON","4326",1.356,68820,1.302,0.017,0.006,0.001,0,0.001,0,1.319,1.319,0.005,1.306,0.013,"popup_html;Label;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",27.702,0.362,0.021,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc8","HUC8","Basins","Basins – HUC8 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,140,44,"polygon","MULTIPOLYGON;POLYGON","4326",0.999,,0.82,0.294,0.172,0.149,0,0.005,0,1.114,1.114,0.172,0.992,0.122,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",5.857,2.1,1.064,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc_all_map::huc8","huc8 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,140,44,,"MULTIPOLYGON;POLYGON","4326",0.999,,0.82,0.294,0.172,0.149,0,0.005,0,1.114,1.114,0.172,0.992,0.122,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",5.857,2.1,1.064,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"gw_bull118","GW – Bull. 118","Basins","Basins – GW Basins, Bulletin 118","gw_bull118_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/gw_bull118_map.rds",TRUE,0.497,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,515,10,"polygon","POLYGON;MULTIPOLYGON","4326",1.344,,0.686,0.266,0.18,0.142,0,0.014,0,0.952,0.952,0.175,0.861,0.091,"popup_html;label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",1.332,0.517,0.276,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"cnrfc_basins","CNRFC Basins","Basins","Basins – CNRFC Basins","cnrfc_basins_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_basins_map.rds",TRUE,0.442,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,345,9,"polygon","POLYGON","4326",0.947,35059,0.665,0.171,0.131,0.11,0,0,0,0.835,0.835,0.131,0.796,0.039,"popup_html;fill_col;stroke_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",1.928,0.496,0.319,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"calsim3_nodes","CalSim3 Nodes","Points","Points – CalSim3 Nodes","calsim3_nodes_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_nodes_map.rds",TRUE,0.144,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,1540,16,"point","POINT","4326",1.993,1540,0.038,1.262,0.845,0.402,0.175,0,0,1.299,1.299,0.641,0.678,0.621,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.025,0.819,0.261,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
