"layer_id","display_name","cache_file","cache_exists","cache_path","cache_size_mb","cache_size_pct_of_250mb","read_error","object_class","is_sf","is_list_cache","list_names","n_features","geometry_family_expected","geometry_types","crs_epsg","bbox","western_us_bbox_ok","contains_zero_zero","empty_geometry_count","invalid_geometry_count","required_fields","missing_required_fields","required_fields_max_blank_fraction","duplicate_coord_groups","max_coord_stack","duplicate_id_groups","warning_count","warnings"
"scan_stations","SCAN Stations","scan_stations_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/scan_stations_map.rds",0.004,0,,"sf;data.frame",TRUE,FALSE,,28,"point","POINT","4326","xmin=-122.55083;ymin=33.6547;xmax=-115.09763;ymax=41.05204",TRUE,FALSE,0,0,"popup_html",,0,0,0,0,0,"OK"
"snow_pillows","Snow Pillows","snow_pillows_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/snow_pillows_map.rds",0.035,0,,"sf;data.frame",TRUE,FALSE,,304,"point","POINT","4326","xmin=-123.37331;ymin=35.961533;xmax=-114.2429;ymax=45.9821",TRUE,FALSE,0,0,"popup_html",,0,0,0,0,0,"OK"
"calsim3_nodes","CalSim3 Nodes","calsim3_nodes_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_nodes_map.rds",0.144,0.1,,"sf;data.frame",TRUE,FALSE,,1540,"point","POINT","4326","xmin=-122.803565;ymin=36.012021;xmax=-119.558674;ymax=40.801178",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"major_conveyance","Major Conveyance","major_conveyance_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/major_conveyance_map.rds",1.647,0.7,,"sf;tbl_df;tbl;data.frame",TRUE,FALSE,,444,"line","LINESTRING;MULTILINESTRING","4326","xmin=-122.790838;ymin=32.610644;xmax=-114.168626;ymax=41.729453",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"calsim3_arcs","CalSim3 Arcs","calsim3_arcs_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_arcs_map.rds",4.707,1.9,,"sf;data.frame",TRUE,FALSE,,2166,"line","LINESTRING","4326","xmin=-123.711444;ymin=35.999892;xmax=-119.474733;ymax=41.331466",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"deltamapr_canals","Deltamapr Conveyance","deltamapr_canals_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/deltamapr_canals_map.rds",1.798,0.7,,"sf;data.frame",TRUE,FALSE,,508,"line","LINESTRING;MULTILINESTRING","4326","xmin=-122.790522;ymin=32.607714;xmax=-114.157862;ymax=42.348784",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"wild_scenic_rivers","Wild & Scenic Rivers","reference_layers_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",22.509,9,,"list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,"line",,,,,,,,,,,,,,0,"list cache not expanded to a specific sf layer"
"county","Counties","county_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/county_map.rds",0.928,0.4,,"sf;tbl_df;tbl;data.frame",TRUE,FALSE,,58,"polygon","POLYGON;MULTIPOLYGON","4326","xmin=-124.415172;ymin=32.534284;xmax=-114.130782;ymax=42.009499",TRUE,FALSE,0,0,"popup_html",,0,0,0,0,0,"OK"
"national_scenic_historic_trails","National Scenic/Historic Trails","reference_layers_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",22.509,9,,"list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,"polygon",,,,,,,,,,,,,,0,"list cache not expanded to a specific sf layer"
"national_monuments","National Monuments","reference_layers_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",22.509,9,,"list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,"polygon",,,,,,,,,,,,,,0,"list cache not expanded to a specific sf layer"
"ca_desert_ncl","CA Desert National Conservation Lands","reference_layers_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",22.509,9,,"list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,"polygon",,,,,,,,,,,,,,0,"list cache not expanded to a specific sf layer"
"wilderness_study_areas","Wilderness Study Areas","reference_layers_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",22.509,9,,"list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,"polygon",,,,,,,,,,,,,,0,"list cache not expanded to a specific sf layer"
"federal_wilderness","Federal Wilderness","reference_layers_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",22.509,9,,"list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,"polygon",,,,,,,,,,,,,,0,"list cache not expanded to a specific sf layer"
"drecp","DRECP","reference_layers_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",22.509,9,,"sf;data.frame",TRUE,FALSE,,1,"polygon","POLYGON","4326","xmin=-118.643362;ymin=32.632866;xmax=-114.130782;ymax=37.302679",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"acec","ACECs","reference_layers_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",22.509,9,,"sf;data.frame",TRUE,FALSE,,238,"polygon","MULTIPOLYGON","4326","xmin=-124.366747;ymin=32.571153;xmax=-114.245277;ymax=42.007457",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"grazing_allotments","Grazing Allotments","reference_layers_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",22.509,9,,"list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,"polygon",,,,,,,,,,,,,,0,"list cache not expanded to a specific sf layer"
"rwqcb_regions","RWQCB Regions","rwqcb_regions_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/rwqcb_regions_map.rds",2.708,1.1,,"sf;data.frame",TRUE,FALSE,,9,"polygon","MULTIPOLYGON","4326","xmin=-124.409726;ymin=32.534268;xmax=-114.130771;ymax=42.009437",TRUE,FALSE,0,0,"popup_html",,0,0,0,0,0,"OK"
"water_districts","Water Districts","water_districts_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/water_districts_map.rds",4.612,1.8,,"sf;data.frame",TRUE,FALSE,,3483,"polygon","MULTIPOLYGON;POLYGON","4326","xmin=-124.316039;ymin=32.533984;xmax=-114.512387;ymax=42.271745",TRUE,FALSE,0,1,"popup_html",,0,0,0,0,1,"1 invalid geometries"
