"layer_id","duplicate_type","key","count"
"usgs_wells","same rounded coordinate","-120.516278,34.915534",7
"usgs_wells","same rounded coordinate","-120.541,34.678594",7
"usgs_wells","same rounded coordinate","-120.645173,34.973032",7
"usgs_wells","same rounded coordinate","-121.644121,38.107141",7
"usgs_wells","same rounded coordinate","-117.016056,33.500472",6
"usgs_wells","same rounded coordinate","-117.059411,32.616597",6
"usgs_wells","same rounded coordinate","-117.072239,32.737761",6
"usgs_wells","same rounded coordinate","-117.085578,32.659036",6
"usgs_wells","same rounded coordinate","-117.101361,32.635556",6
"usgs_wells","same rounded coordinate","-117.109947,32.718933",6
"usgs_wells","same rounded coordinate","-117.118572,33.472131",6
"usgs_wells","same rounded coordinate","-117.385061,34.121139",6
"usgs_wells","same rounded coordinate","-117.388203,34.435247",6
"usgs_wells","same rounded coordinate","-117.394819,34.429525",6
"usgs_wells","same rounded coordinate","-117.4277,34.170431",6
"usgs_wells","same rounded coordinate","-117.891833,34.819444",6
"usgs_wells","same rounded coordinate","-117.938679,34.80887",6
"usgs_wells","same rounded coordinate","-117.953402,34.822481",6
"usgs_wells","same rounded coordinate","-118.061425,33.978578",6
"usgs_wells","same rounded coordinate","-118.073679,33.995291",6
"usgs_wells","same rounded coordinate","-118.088383,33.798",6
"usgs_wells","same rounded coordinate","-118.089083,33.772917",6
"usgs_wells","same rounded coordinate","-118.103128,33.929275",6
"usgs_wells","same rounded coordinate","-118.104306,33.877722",6
"usgs_wells","same rounded coordinate","-118.115439,33.974825",6
"usgs_wells","same rounded coordinate","-118.137994,33.921311",6
"usgs_wells","same rounded coordinate","-118.140351,34.668042",6
"usgs_wells","same rounded coordinate","-118.1492,33.810425",6
"usgs_wells","same rounded coordinate","-118.152258,33.853592",6
"usgs_wells","same rounded coordinate","-118.17,34.011111",6
"usgs_wells","same rounded coordinate","-118.172136,33.793692",6
"usgs_wells","same rounded coordinate","-118.189447,33.980328",6
"usgs_wells","same rounded coordinate","-118.201111,33.85",6
"usgs_wells","same rounded coordinate","-118.235267,33.892583",6
"usgs_wells","same rounded coordinate","-118.314,33.804644",6
"usgs_wells","same rounded coordinate","-118.345953,33.858839",6
"usgs_wells","same rounded coordinate","-118.366178,33.911756",6
"usgs_wells","same rounded coordinate","-121.235504,38.592406",6
"usgs_wells","same rounded coordinate","-121.238004,38.589628",6
"usgs_wells","same rounded coordinate","-114.621632,34.848337",5
"usgs_wells","same rounded coordinate","-114.700569,33.360948",5
"usgs_wells","same rounded coordinate","-115.517769,32.896716",5
"usgs_wells","same rounded coordinate","-116.356706,36.264679",5
"usgs_wells","same rounded coordinate","-116.611214,35.288217",5
"usgs_wells","same rounded coordinate","-116.690664,35.258292",5
"usgs_wells","same rounded coordinate","-116.755189,34.901261",5
"usgs_wells","same rounded coordinate","-116.940517,34.480489",5
"usgs_wells","same rounded coordinate","-116.972244,33.977842",5
"usgs_wells","same rounded coordinate","-117.030305,33.807519",5
"usgs_wells","same rounded coordinate","-117.032778,32.645167",5
"usgs_wells","same rounded coordinate","-117.042249,33.703077",5
"usgs_wells","same rounded coordinate","-117.053892,32.591236",5
"usgs_wells","same rounded coordinate","-117.060878,34.026769",5
"usgs_wells","same rounded coordinate","-117.061603,32.553644",5
"usgs_wells","same rounded coordinate","-117.075469,32.559",5
"usgs_wells","same rounded coordinate","-117.075889,33.482722",5
"usgs_wells","same rounded coordinate","-117.083475,32.591006",5
"usgs_wells","same rounded coordinate","-117.085597,32.687794",5
"usgs_wells","same rounded coordinate","-117.097092,34.024978",5
"usgs_wells","same rounded coordinate","-117.098244,32.654414",5
"usgs_wells","same rounded coordinate","-117.106097,32.545078",5
"usgs_wells","same rounded coordinate","-117.112381,32.682081",5
"usgs_wells","same rounded coordinate","-117.120856,32.778092",5
"usgs_wells","same rounded coordinate","-117.142111,32.721836",5
"usgs_wells","same rounded coordinate","-117.177208,34.084322",5
"usgs_wells","same rounded coordinate","-117.226988,34.436944",5
"usgs_wells","same rounded coordinate","-117.231169,34.420561",5
"usgs_wells","same rounded coordinate","-117.275869,34.085569",5
"usgs_wells","same rounded coordinate","-117.29515,34.077411",5
"usgs_wells","same rounded coordinate","-117.306917,34.379253",5
"usgs_wells","same rounded coordinate","-117.31475,34.057464",5
"usgs_wells","same rounded coordinate","-117.3178,34.070561",5
"usgs_wells","same rounded coordinate","-117.317825,34.762764",5
"usgs_wells","same rounded coordinate","-117.317833,34.054775",5
"usgs_wells","same rounded coordinate","-117.355669,34.089361",5
"usgs_wells","same rounded coordinate","-117.426981,34.137411",5
"usgs_wells","same rounded coordinate","-117.83812,34.84887",5
"usgs_wells","same rounded coordinate","-117.887844,34.809704",5
"usgs_wells","same rounded coordinate","-118.007992,33.882961",5
"usgs_wells","same rounded coordinate","-118.046264,33.929708",5
"usgs_wells","same rounded coordinate","-118.055411,33.911958",5
"usgs_wells","same rounded coordinate","-118.074228,33.934128",5
"usgs_wells","same rounded coordinate","-118.0875,33.971667",5
"usgs_wells","same rounded coordinate","-118.176867,33.944889",5
"usgs_wells","same rounded coordinate","-118.192872,33.893792",5
"usgs_wells","same rounded coordinate","-118.217583,33.818019",5
"usgs_wells","same rounded coordinate","-118.237017,33.988014",5
"usgs_wells","same rounded coordinate","-118.238903,33.800569",5
"usgs_wells","same rounded coordinate","-118.265622,33.997733",5
"usgs_wells","same rounded coordinate","-118.267667,33.782331",5
"usgs_wells","same rounded coordinate","-118.281503,33.822639",5
"usgs_wells","same rounded coordinate","-118.299856,33.876556",5
"usgs_wells","same rounded coordinate","-118.359664,33.966967",5
"usgs_wells","same rounded coordinate","-118.415333,33.956628",5
"usgs_wells","same rounded coordinate","-118.765963,37.657988",5
"usgs_wells","same rounded coordinate","-118.81315,34.393053",5
"usgs_wells","same rounded coordinate","-119.068159,34.212783",5
"usgs_wells","same rounded coordinate","-119.06816,34.342777",5
"usgs_wells","same rounded coordinate","-119.126772,34.153894",5
"usgs_wells","same rounded coordinate","-119.151218,34.246949",5
"usgs_wells","same rounded coordinate","-119.161495,34.125561",5
"usgs_wells","same rounded coordinate","-119.186774,34.140839",5
"usgs_wells","same rounded coordinate","-119.203441,34.154449",5
"usgs_wells","same rounded coordinate","-119.420694,35.217667",5
"usgs_wells","same rounded coordinate","-119.624288,36.715491",5
"usgs_wells","same rounded coordinate","-119.728322,35.513631",5
"usgs_wells","same rounded coordinate","-119.747431,35.680161",5
"usgs_wells","same rounded coordinate","-121.230226,38.581295",5
"usgs_wells","same rounded coordinate","-121.238004,38.592683",5
"usgs_wells","same rounded coordinate","-121.24106,38.589072",5
"usgs_wells","same rounded coordinate","-121.244115,38.595461",5
"usgs_wells","same rounded coordinate","-121.254949,38.585461",5
